"","Банк","Дата","Капітал","Статус"
"1","ФІНАНСОВА ІНІЦІАТИВА",2014-01-01,2060107.54217,"Діючий"
"2","АРТЕМ-БАНК",2014-01-01,95455.27302,"Ліквідований"
"3","БАНК ТРАСТ",2014-01-01,82400.75585,"Діючий"
"4","УКРАЇНСЬКИЙ БАНК РЕКОНСТР.ТА РОЗВ.",2014-01-01,81168.27055,"Діючий"
"5","БАНК ФАМІЛЬНИЙ",2014-01-01,84474.42655,"Діючий"
"6","АПЕКС-БАНК",2014-01-01,200336.86261,"Діючий"
"7","НОВИЙ",2014-01-01,87263.38546,"Діючий"
"8","РЕГІОН-БАНК",2014-01-01,86837.33682,"Діючий"
"9","АКОРДБАНК",2014-01-01,98760.74219,"Діючий"
"10","ЗЕМЕЛЬНИЙ КАПІТАЛ",2014-01-01,118958.07055,"Діючий"
"11","ФІНЕКСБАНК",2014-01-01,120953.99398,"Ліквідований"
"12","ВЕКТОР БАНК",2014-01-01,NA,"Діючий"
"13","КРЕДИТ ОПТИМА БАНК",2014-01-01,68672.9823,"Діючий"
"14","БАНК ПОРТАЛ",2014-01-01,123870.76188,"Діючий"
"15","АЛЬПАРІ БАНК",2014-01-01,124438.28127,"Діючий"
"16","НЕОС БАНК",2014-01-01,NA,"Діючий"
"17","ЛЬВІВ",2014-01-01,142588.70709,"Діючий"
"18","БАНК СІЧ",2014-01-01,122760.25508,"Діючий"
"19","УКРБУДІНВЕСТБАНК",2014-01-01,125926.64064,"Діючий"
"20","АП БАНК",2014-01-01,NA,"Діючий"
"21","ГЕФЕСТ",2014-01-01,121080.18677,"Діючий"
"22","ЦЕНТР",2014-01-01,130135.64232,"Діючий"
"23","ФІНАНСОВИЙ ПАРТНЕР",2014-01-01,125299.80937,"Діючий"
"24","КОМЕРЦІЙНИЙ ІНДУСТРІАЛЬНИЙ БАНК",2014-01-01,124435.29441,"Діючий"
"25","БАНК УКРАЇНСЬКИЙ КАПІТАЛ",2014-01-01,121970.86432,"Діючий"
"26","НК БАНК",2014-01-01,NA,"Діючий"
"27","ДІАМАНТБАНК",2014-01-01,279455.19763,"Діючий"
"28","МЕТАБАНК",2014-01-01,126325.70552,"Діючий"
"29","АЙБОКС БАНК",2014-01-01,132078.91378,"Діючий"
"30","ІНВЕСТБАНК",2014-01-01,106973.06671,"Діючий"
"31","ВЕРНУМ БАНК",2014-01-01,138222.42923,"Діючий"
"32","РОЗРАХУНКОВИЙ ЦЕНТР",2014-01-01,176151.15693,"Діючий"
"33","БАНК АЛЬЯНС",2014-01-01,90376.12858,"Діючий"
"34","КОМІНВЕСТБАНК",2014-01-01,129589.19324,"Діючий"
"35","МОТОР-БАНК",2014-01-01,124887.22982,"Діючий"
"36","ЮНЕКС БАНК",2014-01-01,343852.58758,"Діючий"
"37","КОНКОРД",2014-01-01,137703.03213,"Діючий"
"38","МІСТО БАНК",2014-01-01,320144.63331,"Діючий"
"39","ПРОМИСЛОВО-ФІНАНСОВИЙ БАНК",2014-01-01,132143.33432,"Діючий"
"40","ОКСІ БАНК",2014-01-01,130627.89965,"Діючий"
"41","БАНК АВАНГАРД",2014-01-01,122136.3563,"Діючий"
"42","БАНК БОГУСЛАВ",2014-01-01,191094.11855,"Діючий"
"43","ПОЛІКОМБАНК",2014-01-01,112343.14094,"Діючий"
"44","ФІНБАНК",2014-01-01,230709.2489,"Діючий"
"45","МІЖНАРОДНИЙ ІНВЕСТИЦІЙНИЙ БАНК",2014-01-01,123323.75478,"Діючий"
"46","КРЕДИТВЕСТ БАНК",2014-01-01,123592.31289,"Діючий"
"47","РАДАБАНК",2014-01-01,140827.14782,"Діючий"
"48","ЄВРОПРОМБАНК",2014-01-01,129300.20223,"Діючий"
"49","БАНК ЮНІСОН",2014-01-01,335061.29605,"Діючий"
"50","ТРАСТ-КАПІТАЛ",2014-01-01,92919.11101,"Діючий"
"51","КРИСТАЛБАНК",2014-01-01,NA,"Діючий"
"52","ПЕРШИЙ ІНВЕСТИЦІЙНИЙ БАНК",2014-01-01,254222.02202,"Діючий"
"53","ІДЕЯ БАНК",2014-01-01,337462.22303,"Діючий"
"54","ДІВІ БАНК",2014-01-01,622600.08218,"Діючий"
"55","АСВІО БАНК",2014-01-01,127724.55122,"Діючий"
"56","ДОЙЧЕ БАНК ДБУ",2014-01-01,218798.92518,"Діючий"
"57","БАНК ФОРВАРД",2014-01-01,335387.4312,"Діючий"
"58","ТАСКОМБАНК",2014-01-01,339892.78142,"Діючий"
"59","БМ БАНК",2014-01-01,267913.65258,"Діючий"
"60","ГЛОБУС",2014-01-01,227376.72438,"Діючий"
"61","МАРФІН БАНК ",2014-01-01,626495.09371,"Діючий"
"62","А - БАНК",2014-01-01,198370.74568,"Діючий"
"63","СЕБ КОРПОРАТИВНИЙ БАНК",2014-01-01,276035.6907,"Діючий"
"64","ЕКСПРЕС-БАНК",2014-01-01,457023.05023,"Діючий"
"65","КЛІРИНГОВИЙ ДІМ",2014-01-01,605051.3237,"Діючий"
"66","КРЕДИТ ЄВРОПА БАНК ",2014-01-01,354566.72778,"Діючий"
"67","БАНК ГРАНТ",2014-01-01,185127.41503,"Діючий"
"68","БАНК 3/4",2014-01-01,521355.4675,"Діючий"
"69","БАНК КРЕДИТ ДНІПРО",2014-01-01,576382.4347,"Діючий"
"70","БАНК ВОСТОК",2014-01-01,373030.4792,"Діючий"
"71","ПІРЕУС БАНК МКБ",2014-01-01,410402.94793,"Діючий"
"72","ПОЛТАВА - БАНК",2014-01-01,262318.86671,"Діючий"
