"","Банк","Дата","Кредити","Статус"
"1","ФІНАНСОВА ІНІЦІАТИВА",2014-01-01,11246808.21909,"Діючий"
"2","АРТЕМ-БАНК",2014-01-01,213693.06716,"Ліквідований"
"3","БАНК ТРАСТ",2014-01-01,406277.66506,"Діючий"
"4","УКРАЇНСЬКИЙ БАНК РЕКОНСТР.ТА РОЗВ.",2014-01-01,17376.04952,"Діючий"
"5","БАНК ФАМІЛЬНИЙ",2014-01-01,24290.6554,"Діючий"
"6","АПЕКС-БАНК",2014-01-01,408380.1527,"Діючий"
"7","НОВИЙ",2014-01-01,519391.37008,"Діючий"
"8","РЕГІОН-БАНК",2014-01-01,281943.53306,"Діючий"
"9","АКОРДБАНК",2014-01-01,384811.02583,"Діючий"
"10","ЗЕМЕЛЬНИЙ КАПІТАЛ",2014-01-01,203090.92543,"Діючий"
"11","ФІНЕКСБАНК",2014-01-01,89944.77507,"Ліквідований"
"12","ВЕКТОР БАНК",2014-01-01,NA,"Діючий"
"13","КРЕДИТ ОПТИМА БАНК",2014-01-01,138914.76122,"Діючий"
"14","БАНК ПОРТАЛ",2014-01-01,105035.91585,"Діючий"
"15","АЛЬПАРІ БАНК",2014-01-01,27854.05653,"Діючий"
"16","НЕОС БАНК",2014-01-01,NA,"Діючий"
"17","ЛЬВІВ",2014-01-01,626603.15979,"Діючий"
"18","БАНК СІЧ",2014-01-01,235675.88288,"Діючий"
"19","УКРБУДІНВЕСТБАНК",2014-01-01,211434.71842,"Діючий"
"20","АП БАНК",2014-01-01,NA,"Діючий"
"21","ГЕФЕСТ",2014-01-01,0,"Діючий"
"22","ЦЕНТР",2014-01-01,131624.61057,"Діючий"
"23","ФІНАНСОВИЙ ПАРТНЕР",2014-01-01,58564.08523,"Діючий"
"24","КОМЕРЦІЙНИЙ ІНДУСТРІАЛЬНИЙ БАНК",2014-01-01,16626.26209,"Діючий"
"25","БАНК УКРАЇНСЬКИЙ КАПІТАЛ",2014-01-01,156934.20563,"Діючий"
"26","НК БАНК",2014-01-01,NA,"Діючий"
"27","ДІАМАНТБАНК",2014-01-01,2463937.75129,"Діючий"
"28","МЕТАБАНК",2014-01-01,549388.45314,"Діючий"
"29","АЙБОКС БАНК",2014-01-01,303256.43856,"Діючий"
"30","ІНВЕСТБАНК",2014-01-01,347013.65061,"Діючий"
"31","ВЕРНУМ БАНК",2014-01-01,78892.50405,"Діючий"
"32","РОЗРАХУНКОВИЙ ЦЕНТР",2014-01-01,0,"Діючий"
"33","БАНК АЛЬЯНС",2014-01-01,124920.83257,"Діючий"
"34","КОМІНВЕСТБАНК",2014-01-01,503265.3089,"Діючий"
"35","МОТОР-БАНК",2014-01-01,190325.85327,"Діючий"
"36","ЮНЕКС БАНК",2014-01-01,1404908.0755,"Діючий"
"37","КОНКОРД",2014-01-01,144981.17111,"Діючий"
"38","МІСТО БАНК",2014-01-01,1093087.90545,"Діючий"
"39","ПРОМИСЛОВО-ФІНАНСОВИЙ БАНК",2014-01-01,184286.33604,"Діючий"
"40","ОКСІ БАНК",2014-01-01,268171.96816,"Діючий"
"41","БАНК АВАНГАРД",2014-01-01,0,"Діючий"
"42","БАНК БОГУСЛАВ",2014-01-01,320958.37753,"Діючий"
"43","ПОЛІКОМБАНК",2014-01-01,288472.25323,"Діючий"
"44","ФІНБАНК",2014-01-01,2107918.46562,"Діючий"
"45","МІЖНАРОДНИЙ ІНВЕСТИЦІЙНИЙ БАНК",2014-01-01,1133455.38829,"Діючий"
"46","КРЕДИТВЕСТ БАНК",2014-01-01,324817.04721,"Діючий"
"47","РАДАБАНК",2014-01-01,186852.31795,"Діючий"
"48","ЄВРОПРОМБАНК",2014-01-01,689124.83192,"Діючий"
"49","БАНК ЮНІСОН",2014-01-01,309251.31431,"Діючий"
"50","ТРАСТ-КАПІТАЛ",2014-01-01,233101.25839,"Діючий"
"51","КРИСТАЛБАНК",2014-01-01,NA,"Діючий"
"52","ПЕРШИЙ ІНВЕСТИЦІЙНИЙ БАНК",2014-01-01,831313.52071,"Діючий"
"53","ІДЕЯ БАНК",2014-01-01,2247615.91928,"Діючий"
"54","ДІВІ БАНК",2014-01-01,5455868.61872,"Діючий"
"55","АСВІО БАНК",2014-01-01,368083.97372,"Діючий"
"56","ДОЙЧЕ БАНК ДБУ",2014-01-01,127190.98551,"Діючий"
"57","БАНК ФОРВАРД",2014-01-01,2985833.87099,"Діючий"
"58","ТАСКОМБАНК",2014-01-01,2089938.76572,"Діючий"
"59","БМ БАНК",2014-01-01,2082752.1761,"Діючий"
"60","ГЛОБУС",2014-01-01,584969.35727,"Діючий"
"61","МАРФІН БАНК ",2014-01-01,1298090.75869,"Діючий"
"62","А - БАНК",2014-01-01,1206920.44075,"Діючий"
"63","СЕБ КОРПОРАТИВНИЙ БАНК",2014-01-01,732032.95048,"Діючий"
"64","ЕКСПРЕС-БАНК",2014-01-01,795833.50347,"Діючий"
"65","КЛІРИНГОВИЙ ДІМ",2014-01-01,2729685.23636,"Діючий"
"66","КРЕДИТ ЄВРОПА БАНК ",2014-01-01,822776.98841,"Діючий"
"67","БАНК ГРАНТ",2014-01-01,621094.83072,"Діючий"
